district_name,block_name,gp_name,village_name,village_code,village_latitude,village_longitude,total_hhd,TOT_P,TOT_M,TOT_F,P_SC,P_ST,P_LIT,P_ILL,TOT_WORK_P,MAINWORK_P,MARGWORK_P,total_hhd_having_piped_water_connection,total_no_of_community_toilets_constructed,availability_of_phc,availability_of_chc,distance_of_phc,distance_of_chc,total_no_of_schools_primary_sections,total_no_of_schools_middle_sections,availability_of_high_school,availability_of_ssc_school,is_village_connected_to_all_weather_road,distance_of_all_weather_road,availability_of_internal_pucca_road,availablility_hours_of_domestic_electricity,is_broadband_available,no_of_shgs_under_nrlm,total_hhd_mobilized_into_shg,total_no_of_shg_promoted,total_shg_members_engaged_in_income_generation_activities,availability_of_cottage_small_scale_units,total_hhd_engaged_cottage_small_scale_units,piped_water_pct,toilet_per_100hh,sanitation_deficit_raw,sanitation_deficit,has_health_fac,min_health_distance,health_deficit_raw,health_deficit,total_schools,schools_per_1000,education_deficit_raw,education_deficit,service_deficit_index,road_deficit_raw,road_deficit,digital_deficit_raw,digital_deficit,electricity_deficit_raw,electricity_deficit
CHAMPAWAT,BARAKOT,KAKAR KHATERI,Banj,54168,29.45744,80.058005,13,35,15,20,8,0,20,15,17,17,0,4,1,2,2,5,5,1,1,1,1,2,2,3,3,1,0,0,0,0,2,0,30.76923077,7.692307692,0.692307692,0.692307692,1,5,0.6,1,4,114.2857143,0.971428571,0.971428571,0.899120879,-0.44,0.153846154,0,1,0.5,0.5
CHAMPAWAT,BARAKOT,KAKAR KHATERI,Talli Jindi,54175,29.457618,80.058038,60,56,31,25,0,0,41,15,17,17,0,28,1,2,2,3,4,1,1,2,2,2,4,3,3,2,0,0,0,0,2,0,46.66666667,1.666666667,0.533333333,0.533333333,1,3,0.3,0.5,6,107.1428571,0.973214286,0.973214286,0.651964286,-0.28,0.461538462,-1,0,0.5,0.5
CHAMPAWAT,BARAKOT,KAKAR KHATERI,Kakarh,54176,29.446604,80.101036,135,969,474,495,475,1,644,325,374,233,141,5,1,2,2,2,2,1,1,1,1,1,0,2,3,1,10,0,1,0,2,0,3.703703704,0.740740741,0.962962963,0.962962963,1,2,0.15,0.25,4,4.127966976,0.998968008,0.998968008,0.688579291,0,1,0,1,0.5,0.5
CHAMPAWAT,BARAKOT,KAKRI,Kheti,54226,29.4101,80.083502,35,162,80,82,21,0,100,62,102,40,62,20,0,2,2,3,5,1,0,2,2,2,5,2,4,1,3,18,0,0,2,0,57.14285714,0,0.428571429,0.428571429,1,3,0.3,0.5,5,30.86419753,0.992283951,0.992283951,0.626256614,-0.2,0.615384615,0,1,0.25,0.25
CHAMPAWAT,BARAKOT,KAKRI,Kakari,54227,29.410084,80.083455,41,178,82,96,0,0,105,73,46,36,10,30,0,2,2,3,5,1,0,2,2,2,5,2,4,1,3,18,0,0,2,0,73.17073171,0,0.268292683,0.268292683,1,3,0.3,0.5,5,28.08988764,0.992977528,0.992977528,0.578381063,-0.2,0.615384615,0,1,0.25,0.25
CHAMPAWAT,BARAKOT,KAMA JYULA,Bakarya Julla,54127,29.476445,79.997417,87,313,134,179,103,0,166,147,109,109,0,0,0,2,2,5,5,1,0,2,2,2,5,3,3,2,3,15,0,0,2,0,0,0,1,1,1,5,0.6,1,5,15.97444089,0.99600639,0.99600639,0.998801917,-0.2,0.615384615,-1,0,0.5,0.5
CHAMPAWAT,BARAKOT,KAMA JYULA,Kamajula,54132,29.475981,79.996019,112,300,151,149,300,0,151,149,100,100,0,0,1,2,2,5,5,1,0,2,1,1,0,3,4,2,9,45,0,0,2,0,0,0.892857143,1,1,1,5,0.6,1,4,13.33333333,0.996666667,0.996666667,0.999,0,1,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,KHAKORA,Khakora,54194,29.396927,80.088427,111,532,249,283,79,0,353,179,239,203,36,70,0,2,2,3,5,1,0,2,2,1,0,3,3,2,12,24,12,12,2,0,63.06306306,0,0.369369369,0.369369369,1,3,0.3,0.5,5,9.398496241,0.997650376,0.997650376,0.610105924,0,1,-1,0,0.5,0.5
CHAMPAWAT,BARAKOT,KHOLASUNAR,Kailari,54180,29.476846,80.016986,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,0,0,2,2,2,2,3,5,2,0,0,0,0,2,0,0,0,1,1,1,5,0.6,1,4,0,1,1,1,-0.44,0.153846154,-1,0,0,0
CHAMPAWAT,BARAKOT,KHOLASUNAR,Khola Sunar,54184,29.482946,80.016986,78,311,159,152,0,0,259,52,124,33,91,49,0,2,2,3,3,1,0,2,2,2,4,3,4,2,0,0,0,0,2,0,62.82051282,0,0.371794872,0.371794872,1,3,0.3,0.5,5,16.07717042,0.995980707,0.995980707,0.610332674,-0.28,0.461538462,-1,0,0.25,0.25
